win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
2,1,0,2,2,2,1,4,0,0,1,0,1,8,2,1,2,0,0,4,4,7,548.3,9.9,549.3,933.2,4.0,2.0,6.0,439.9,8.7,550.3,913.6,11.0,5.0,6.0,696.4,1.8,688.2,1273.0,0.0,12.0,7.0,336.9,2.2,338.4,799.3,2.0,5.0,9.0,367.5,4.699999999999999,483.6,820.5,6,6,4,464.79999999999995,10.4,599.4,813.4,4.0,10.0,4.0,383.6,7.0,470.8,915.0,13.0,12.0,2.0,560.1,2.1,668.4,551.2,4.0,16.0,5.0,341.20000000000005,0.4,389.3,783.4000000000001,8.0,14.0,6.0,479.59999999999997,6.6,535.6,807.7
1,1,0,0,1,1,1,5,0,1,3,0,1,6,0,0,1,0,0,11,10,8,582.4,7.6,590.7,1628.1,8.0,5.0,8.0,8.0,4.0,7.0,458.8,351.20000000000005,7.9,0.3,615.7,458.8,767.4000000000001,1241.0,5.0,20.0,7.0,413.3,1.1,399.6,739.2,14.0,11.0,5.0,395.5,2.5,441.8,833.7,6,0,9,489.5,9.9,647.3,1296.4,12.0,4.0,7.0,514.2,6.699999999999999,558.4000000000001,824.0,10.0,10.0,5.0,606.5,0.6,707.3,849.2,0.0,9.0,12.0,219.6,1.2000000000000002,333.0,980.7,3.0,9.0,10.0,404.4,6.4,469.6,743.3
1,2,0,1,0,1,1,6,1,0,1,0,1,1,0,0,1,0,0,8,3,4,534.2,7.6,512.4,872.3,2.0,2.0,2.0,478.79999999999995,8.7,605.4,828.4000000000001,6.0,10.0,4.0,378.20000000000005,1.0,492.4,1388.6,3.0,13.0,2.0,375.0,1.2,403.1,466.20000000000005,7.0,6.0,3.0,642.9000000000001,8.6,679.0,733.2,4,4,6,342.9,6.0,404.6,1181.2,3.0,2.0,3.0,462.6,7.3,484.4,939.2,2.0,8.0,6.0,330.0,1.0,410.1,822.0999999999999,4.0,6.0,5.0,460.7,0.5,425.1,515.8,2.0,5.0,6.0,399.7,6.7,468.6,404.20000000000005
2,1,0,2,0,2,2,3,0,0,0,0,0,7,1,0,2,0,1,4,4,2,380.20000000000005,7.300000000000001,453.2,572.5,2.0,4.0,6.0,328.2,4.4,324.3,670.5,3.0,6.0,7.0,288.6,0.30000000000000004,339.4,951.0,2.0,3.0,4.0,278.5,1.1,338.8,234.4,3.0,4.0,3.0,434.79999999999995,8.9,408.0,361.09999999999997,2,4,5,348.29999999999995,6.5,533.2,1029.0,12.0,3.0,2.0,724.1,10.8,699.1,1130.8,1.0,15.0,4.0,362.4,1.2999999999999998,472.5,522.8,1.0,6.0,1.0,268.0,1.0,334.20000000000005,417.5,6.0,0.0,2.0,407.79999999999995,7.300000000000001,452.2,542.5
1,1,0,0,1,2,1,4,0,1,1,0,1,1,0,0,2,0,0,7,3,2,518.2,10.0,653.2,930.4,7.0,3.0,4.0,4.0,3.0,1.0,510.0,466.4,8.3,1.3,491.3,580.9000000000001,884.8,528.2,2.0,6.0,4.0,267.8,0.9,339.4,559.5999999999999,2.0,5.0,2.0,362.5,7.1,466.1,448.5,5,1,5,452.79999999999995,8.5,665.2,1079.6999999999998,0.0,3.0,6.0,243.79999999999998,4.5,323.7,497.7,3.0,3.0,3.0,358.1,1.5,425.9,950.9000000000001,0.0,6.0,4.0,245.5,1.0,329.9,461.4,4.0,2.0,3.0,400.0,8.8,395.29999999999995,357.9
2,2,0,2,2,2,2,1,0,0,0,0,0,10,5,2,5,0,2,3,3,11,317.1,8.6,525.2,1245.7,4.0,6.0,6.0,297.6,7.3,432.0,704.3,6.0,1.0,4.0,469.79999999999995,0.6,425.4,1040.6,0.0,11.0,6.0,260.8,0.2,317.8,665.5,3.0,7.0,4.0,402.6,8.8,465.5,817.6,5,6,5,479.6,6.6,518.5,1184.3,5.0,7.0,3.0,576.9000000000001,9.7,657.0,829.4,12.0,9.0,1.0,535.4,2.6,656.0,1028.6,3.0,12.0,2.0,304.9,1.1,299.5,340.5,6.0,9.0,5.0,508.29999999999995,4.8,519.8,578.7
1,1,0,1,1,1,1,9,2,1,3,0,1,2,0,0,1,0,0,11,2,14,8.0,5.0,4.0,579.5999999999999,343.70000000000005,8.7,6.6,617.0,451.20000000000005,791.2,560.0999999999999,13.0,12.0,5.0,537.8,0.8,596.0,1160.3,1.0,9.0,7.0,310.5,1.1,345.29999999999995,470.4,9.0,8.0,5.0,479.0,6.5,595.9000000000001,637.1,10,3,4,493.7,9.0,623.9000000000001,888.6999999999999,7.0,1.0,10.0,10.0,9.0,11.0,324.5,352.4,1.5,3.8,443.5,322.3,1352.4,1184.3,2.0,14.0,5.0,312.3,0.7999999999999999,354.5,701.5,6.0,3.0,7.0,449.9,7.1,488.70000000000005,914.7
2,1,2,2,2,2,2,0,0,0,0,0,0,11,2,1,4,0,2,4,9,8,261.3,3.9000000000000004,368.79999999999995,976.3,6.0,10.0,8.0,437.79999999999995,8.0,634.5,717.5,10.0,7.0,12.0,435.8,2.9000000000000004,297.2,1134.9,1.0,15.0,10.0,255.0,1.6,338.0,917.1999999999999,7.0,8.0,7.0,329.79999999999995,5.0,385.9,748.4,5,5,6,468.20000000000005,8.5,522.0999999999999,678.8,16.0,12.0,3.0,898.7,10.6,790.9,1373.8000000000002,11.0,6.0,6.0,598.7,1.2000000000000002,587.3,1195.3000000000002,4.0,23.0,7.0,498.9,1.7999999999999998,586.4,469.9,9.0,8.0,6.0,511.8,5.5,595.1,867.7
2,2,0,2,2,2,2,4,0,0,0,0,0,10,3,2,5,0,2,16,5,9,639.1,5.2,499.7,1589.9,5.0,6.0,8.0,263.5,5.4,386.20000000000005,740.5999999999999,1.0,16.0,14.0,304.4,0.7,412.4,972.6,2.0,11.0,13.0,307.4,1.3,315.2,844.9,13.0,9.0,10.0,500.9,6.4,435.7,1014.5,3,16,10,362.6,4.9,410.6,1024.7,17.0,13.0,4.0,678.3,6.9,704.3,862.0,21.0,15.0,10.0,673.8,2.3,551.4,1236.1,6.0,30.0,5.0,425.29999999999995,0.7,447.3,711.4000000000001,7.0,9.0,8.0,450.0,3.6,486.1,584.4
2,1,0,2,0,2,2,1,0,0,0,0,0,8,2,0,3,0,2,2,5,4,459.9,7.8,542.9,1261.4,4.0,5.0,5.0,421.6,7.5,562.0999999999999,747.5,7.0,3.0,6.0,411.6,0.5,329.6,779.1,3.0,6.0,3.0,212.4,0.6,271.3,494.59999999999997,1.0,3.0,5.0,309.4,7.4,427.1,766.6,5,4,5,498.20000000000005,8.3,501.9,1035.0,6.0,2.0,6.0,5.0,4.0,4.0,448.6,375.1,0.7,6.199999999999999,549.2,545.4,1544.8,736.9000000000001,2.0,14.0,3.0,322.29999999999995,0.2,376.3,557.8,8.0,3.0,1.0,573.4,8.0,568.2,585.6
